Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent,,unemploymentr
British Virgin Islands,100,..,..,..,..,..,..,..,..,77.70426829,..,..,..,..,30266,..,#VALUE!,
Channel Islands,100,9.939,..,..,..,..,..,..,..,..,82.766,..,..,..,174140,..,#VALUE!,
Curacao,100,9.7,..,..,109.7456083,..,-1.73976542,..,..,68.12721625,78.01707317,..,..,..,..,..,#VALUE!,
Djibouti,60.2,21.944,470,0.49782862,116.2157532,2.46476316,5.403099843,..,13.25469971,55.68140925,65.893,..,551358,26.06,990447,Africa,#VALUE!,
Eritrea,47.9732132,30.898,720,0.210964653,..,3.76475835,..,..,..,1.30890698,65.538,..,863863,..,3554797,Africa,#VALUE!,
Faroe Islands,100,13.1,..,..,..,..,..,..,..,97.58195894,82.29512195,..,..,..,..,..,#VALUE!,
French Polynesia,100,14.946,..,..,..,..,..,..,..,72.70389531,77.251,..,..,..,281191,Europe,#VALUE!,
Gibraltar,100,..,..,..,..,..,..,..,..,..,..,..,..,..,33689,..,#VALUE!,
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Asia,#VALUE!,
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa,#VALUE!,
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa,#VALUE!,
Liechtenstein,100,8.9,160,4.232244412,..,..,..,..,..,99.54661245,83.74634146,..,..,..,38147,Europe,#VALUE!,
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Oceania,#VALUE!,
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Europe,#VALUE!,
New Caledonia,100,14.5,..,..,..,..,..,..,..,82.0058408,77.53902439,..,..,..,285972,Oceania,#VALUE!,
Sint Maarten (Dutch part),100,9,..,..,116.6435463,..,-5.8,..,..,..,..,..,..,..,..,..,#VALUE!,
Somalia,32.5946312,41.919,660,0.045239052,..,..,1.391181325,..,..,2.004048698,56.709,..,1976828,..,15965848,Africa,#VALUE!,
Somalia,32.5946312,41.919,660,0.045239052,..,..,1.391181325,..,..,2.004048698,56.709,..,1976828,..,15965848,Europe,#VALUE!,
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa,#VALUE!,
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa,#VALUE!,
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Asia,#VALUE!,
South Sudan,4.2,35.37,1520,0.13931184,4583.705462,8.37437344,..,..,1.073699951,7.977428907,57.365,..,352229,..,11216250,Africa,#VALUE!,
St. Martin (French part),100,15,..,..,..,..,..,..,..,..,79.62195122,..,..,..,..,Europe,#VALUE!,
Syrian Arab Republic,89.56895447,24.115,29100,1.702185507,..,..,..,..,..,34.25340193,70.967,..,2286820,..,..,Asia,#VALUE!,
Syrian Arab Republic,89.56895447,24.115,29100,1.702185507,..,..,..,..,..,34.25340193,70.967,..,2286820,..,..,North America,#VALUE!,
Turks and Caicos Islands,100,..,..,..,..,..,-2.490218992,..,..,..,..,..,..,..,..,..,#VALUE!,
"Venezuela, RB",99.2,18.232,148740,5.058756948,..,6.22255135,..,..,..,..,72.246,..,2929709,5.05,..,South America,186185,
Monaco,100,..,..,..,..,1.64266789,-3.40000081,186185,6.980629921,97.05297684,..,..,..,..,39290,Europe,109452,
Luxembourg,100,10.4,9000,15.09216281,111.4132314,5.25779152,1.801180955,109452,8.534049988,97.36296032,82.09512195,..,..,5.52,627704,Europe,94309,
Bermuda,100,9.3,..,..,..,..,3.611419837,94309,7.773469925,98.37,81.44195122,..,..,..,62237,North America,92984,
Isle of Man,100,..,..,..,..,..,2.837739696,92984,..,..,..,..,..,..,85112,Asia,92984,
Isle of Man,100,..,..,..,..,..,2.837739696,92984,..,..,..,..,..,..,85112,Europe,91549,
Norway,100,10.7,36900,6.992651841,114.5507194,10.31589031,2.323258407,91549,16.01365089,96.3576013,82.6097561,..,997451,4.16,5428594,Europe,80964,
Switzerland,100,10.3,38620,4.569419203,98.2668532,11.89515591,1.584819616,80964,15.5774498,89.68614767,83.55121951,..,1356037,4.8,8665615,Europe,76499,
Cayman Islands,100,9.9,..,..,..,..,3.184043376,76499,..,81.06769325,..,..,..,..,65854,..,71296,
Ireland,100,12.9,37530,7.806734135,105.079586,7.15484905,9.129439947,71296,13.46893978,84.11400706,82.15609756,..,1188418,6.71,4947267,Europe,71296,
Ireland,100,12.9,37530,7.806734135,105.079586,7.15484905,9.129439947,71296,13.46893978,84.11400706,82.15609756,..,1188418,6.71,4947267,Europe,64472,
Qatar,100,9.698,87680,32.17937063,115.8588034,2.72160077,-1.49760469,64472,8.560850143,97.38884917,79.981,93.46396637,659067,0.14,2889284,Asia,63215,
Denmark,100,10.6,33330,5.78145978,108.6331578,10.03963375,2.821736341,63215,15.25761986,97.09936216,81.10243902,..,1303974,5.83,5795780,Europe,57527,0.14
Singapore,100,8.9,47430,8.451151436,113.2659229,4.4177866,4.520379476,57527,..,84.45226789,83.09512195,97.2022171,5708844,4.2,5858322,Asia,57467,
Sweden,100,11.5,38330,3.811011227,106.4917747,10.78592205,2.567924525,57467,15.79839993,93.00626697,82.4097561,..,1553180,6.72,10110233,Europe,56071,
"Macao SAR, China",100,11.2,..,..,136.0990911,..,9.982505239,56071,13.47624969,83.17408907,83.989,..,622567,1.99,..,Asia,56071,
"Macao SAR, China",100,11.2,..,..,136.0990911,..,9.982505239,56071,13.47624969,83.17408907,83.989,..,622567,1.99,..,Europe,56058,
Australia,100,12.6,387200,15.7386474,115.6867846,9.20544815,2.300610624,56058,13.61341,86.54504885,82.5,..,4708150,5.59,25550683,Oceania,56058,
Australia,100,12.6,387200,15.7386474,115.6867846,9.20544815,2.300610624,56058,13.61341,86.54504885,82.5,..,4708150,5.59,25550683,Europe,53942,5.59
Netherlands,100,9.9,155910,9.100887639,111.0420628,10.05979824,2.910902513,53942,12.19252968,93.19727891,81.76097561,..,1123080,4.84,17141544,Europe,53636,
United States of America,100,11.8,4813720,14.80588242,112.4115573,17.00361443,2.332679395,53636,..,87.27488917,78.53902439,..,18761941,4.36,..,North America,53636,
United States of America,100,11.8,4813720,14.80588242,112.4115573,17.00361443,2.332679395,53636,..,87.27488917,78.53902439,..,18761941,4.36,..,Africa,51225,4.36
Canada,100,10.3,562260,15.38529105,111.9848311,10.78964806,3.039880225,51225,..,92.70137191,81.9,..,6009852,6.34,37799407,North America,51225,
Canada,100,10.3,562260,15.38529105,111.9848311,10.78964806,3.039880225,51225,..,92.70137191,81.9,..,6009852,6.34,37799407,North America,50690,
Iceland,100,11.9,2170,6.319161328,121.9569607,8.3432579,4.194948829,50690,17.69028091,98.25520119,82.66097561,..,..,2.74,341628,Europe,50690,
Iceland,100,11.9,2170,6.319161328,121.9569607,8.3432579,4.194948829,50690,17.69028091,98.25520119,82.66097561,..,..,2.74,341628,Europe,49238,
San Marino,100,6.7,..,..,110.6315956,7.24210215,0.258265466,49238,13.10361004,60.18230126,..,..,..,..,33944,Europe,49238,
San Marino,100,6.7,..,..,110.6315956,7.24210215,0.258265466,49238,13.10361004,60.18230126,..,..,..,..,33944,Africa,49031,
Austria,100,10,65830,7.482751479,113.9997392,10.38262367,2.399587603,49031,10.95016003,87.93558659,81.64390244,..,1878456,5.5,9015361,Europe,49031,
Austria,100,10,65830,7.482751479,113.9997392,10.38262367,2.399587603,49031,10.95016003,87.93558659,81.64390244,..,1878456,5.5,9015361,Oceania,48510,
Japan,100,7.6,1151930,9.085639143,103.962704,10.79634285,2.168290737,48510,8.378879547,91.72654724,84.0997561,..,37397437,2.8,126407422,Asia,48177,
Finland,100,9.1,43010,7.808338601,110.0007799,9.14156628,3.19240963,48177,11.86886024,87.46892907,81.63170732,..,1259875,8.64,5542237,Europe,47647,
Greenland,100,15.2,..,..,..,..,0.468546638,47647,..,69.48246178,70.62243902,..,..,..,56787,Europe,46862,
Germany,100,9.5,732200,8.858293699,109.3524635,11.32229614,2.601976005,46862,11.0426302,84.3941537,80.99268293,..,3539234,3.75,83830972,Europe,46415,
Belgium,100,10.5,92770,8.155491115,113.1289026,10.40608311,1.621547198,46415,12.49032974,87.67968082,81.49268293,..,2033713,7.09,11598451,Europe,44433,
Andorra,100,..,470,6.104133927,..,6.54431868,0.34607189,44433,18.9569397,91.56746703,..,..,..,..,77287,Europe,42980,
France,100,11.5,316360,4.727575622,106.864453,11.39050198,2.291419994,42980,9.678580284,80.50245972,82.57560976,..,10844847,9.41,65298930,Europe,42970,
United Kingdom,100,11.4,366380,5.546265944,114.9435916,9.82511234,1.740309443,42970,14.19027996,90.42455049,81.25609756,..,8916251,4.33,67948282,Europe,42970,
United Kingdom,100,11.4,366380,5.546265944,114.9435916,9.82511234,1.740309443,42970,14.19027996,90.42455049,81.25609756,..,8916251,4.33,67948282,North America,41460,4.33
United Arab Emirates,100,10.456,208250,21.95061433,113.302921,4.14456415,2.37353671,41460,..,94.81992254,77.647,..,2650883,2.46,9910892,Asia,37929,
Hong Kong ,100,7.7,..,..,127.7681573,..,3.791005986,37929,17.84127998,89.41594465,84.6804878,..,7364883,3.13,..,..,37815,
New Zealand,100,12.38,32920,6.838956291,110.6515787,9.01967621,3.613281553,37815,16.65535927,90.81109307,81.65853659,..,1525666,4.739999771,4829021,Oceania,37815,
New Zealand,100,12.38,32920,6.838956291,110.6515787,9.01967621,3.613281553,37815,16.65535927,90.81109307,81.65853659,..,1525666,4.739999771,4829021,Oceania,35086,4.739999771
Italy,100,7.6,329190,5.437857549,108.7149018,8.6777401,1.667859041,35086,8.313960075,63.077347,82.94634146,..,4177286,11.21,60446035,Europe,34251,
Israel,100,21.1,66040,7.579217977,106.401291,7.49766827,3.555612725,34251,15.71827984,81.58118359,82.55121951,..,3905583,4.22,8678517,Asia,33359,
Kuwait,100,14.651,89720,22.11975932,124.5576318,5.29526615,-4.712106209,33359,..,97.99998933,75.311,96.03594971,2841715,..,4281320,Asia,32482,
Guam,100,16.71,..,..,..,..,0.890099909,32482,..,80.50546556,79.631,..,..,..,169031,..,32308,
Spain,100,8.4,263440,5.654039569,108.3753351,8.94249249,2.973641191,32308,10.22509003,84.6022457,83.28292683,..,6403902,17.22,46757980,Europe,31752,
Brunei Darussalam,100,15.376,6710,15.80753909,98.40633836,2.27036428,1.328602552,31752,..,94.86669164,75.585,..,..,9.32,..,Asia,31752,
Brunei Darussalam,100,15.376,6710,15.80753909,98.40633836,2.27036428,1.328602552,31752,..,94.86669164,75.585,..,..,9.32,..,Africa,30758,
Cyprus,100,10.668,7300,6.188092584,100.8078868,6.73828936,5.154777146,30758,15.87238979,80.74318897,80.672,..,..,11.05,1208886,Europe,29697,
Virgin Islands (U.S.),100,12.8,..,..,..,..,-0.606447494,29697,..,64.3774943,79.36829268,..,..,..,..,..,28283,
"Bahamas, The",100,14.049,2150,5.631972841,110.879784,6.83129883,3.115613515,28283,..,85,73.554,..,..,9.8,..,North America,28283,
"Bahamas, The",100,14.049,2150,5.631972841,110.879784,6.83129883,3.115613515,28283,..,85,73.554,..,..,9.8,..,North America,28283,
Malta,100,9.2,1520,3.247870188,110.3420468,9.19666958,8.119425289,28283,13.46864986,81.01191108,82.34634146,..,..,4,441750,Europe,27561,
Puerto Rico,100,7.3,..,..,..,..,-2.885954759,27561,..,68.74077314,79.63453659,92.38999939,2457302,10.8,2846860,North America,27492,
"Korea, Rep.",100,7,625350,12.17536474,113.0508001,7.10694933,3.15963574,27492,..,95.06942188,82.62682927,..,9941235,3.65,..,Asia,26631,
Aruba,100,11.532,..,..,101.3851388,..,1.999999104,26631,..,97.17,76.01,..,..,..,106845,..,25729,
Slovenia,100,9.8,14140,6.842858166,107.4021101,8.18941784,4.79354876,25729,12.02299976,78.88542636,81.02926829,..,..,6.56,2078989,Europe,25729,
Slovenia,100,9.8,14140,6.842858166,107.4021101,8.18941784,4.79354876,25729,12.02299976,78.88542636,81.02926829,..,..,6.56,2078989,Europe,23380,
Portugal,100,8.4,53330,5.177519101,109.1667051,9.33004951,3.506345285,23380,11.05803967,73.79121395,81.42439024,..,2912590,8.87,10191409,Europe,23217,
Northern Mariana Islands,100,..,..,..,..,..,23.17073171,23217,..,..,..,..,..,..,57619,Europe,23144,
Czech Republic,100,10.8,103420,9.761725917,110.8672281,7.23133898,5.168724304,23144,9.89634037,78.71917285,78.97804878,..,1284162,2.89,..,North America,23144,
Czech Republic,100,10.8,103420,9.761725917,110.8672281,7.23133898,5.168724304,23144,9.89634037,78.71917285,78.97804878,..,1284162,2.89,..,Africa,22651,
Greece,100,8.2,66800,6.211250006,101.0598733,7.96522522,1.280824834,22651,..,69.89297065,81.28780488,..,3157451,21.49,10413936,Europe,22167,
Bahrain,100,14.365,30380,20.33362404,115.1846987,4.74813128,4.290949778,22167,7.180349827,95.87813575,77.032,97.40389252,519958,..,1711057,Asia,20692,s
Saudi Arabia,99.93,18.319,540700,16.33476362,118.0299772,7.00368643,-0.741502653,20692,..,94.17559961,74.874,95.32862854,6669098,5.89,34905942,Asia,20692,
Saudi Arabia,99.93,18.319,540700,16.33476362,118.0299772,7.00368643,-0.741502653,20692,..,94.17559961,74.874,95.32862854,6669098,5.89,34905942,Asia,19821,
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,Europe,19821,
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,North America,19821,
Slovak Republic,100,10.7,33580,6.173665694,109.5903321,6.76883841,2.989520318,19821,9.761619568,81.62566752,77.16585366,..,427245,8.13,..,Africa,19153,
Estonia,100,10.5,16280,12.35782429,115.4553248,6.59183788,5.49915471,19153,12.75030041,88.10245687,78.09268293,..,429990,5.76,1326693,Europe,16903,
Lithuania,100,10.1,11220,3.966902878,112.6424898,6.47619867,4.282596951,16903,11.82433987,77.61525651,75.4804878,..,534453,7.07,2715340,Europe,16589,
St. Kitts and Nevis,100,..,240,4.61219156,105.661275,5.69199848,-1.977829212,16589,..,80.71019081,..,..,..,..,..,North America,16254,
Barbados,100,10.683,1200,4.192447306,124.245074,6.62216997,0.475110679,16254,12.87915039,81.76077839,78.981,..,..,8.62,287437,North America,16067,
Oman,100,19.786,69900,14.98094912,112.3871221,3.97352886,0.346322041,16067,..,80.18563573,77.393,95.5759964,1377500,..,5128058,Asia,15912,
Hungary,100,9.7,46550,4.755839977,114.4500172,6.79227543,4.316780987,15912,10.06933975,76.75054712,75.81707317,..,1754955,4.16,9655983,Europe,15802,
